epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,3770.07,0.37987,0.2733,0.86986,0.71891,0.75176,0.78603,0.66458,0.74431,0.93424,0.99536,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,3816.57,0.38571,0.27124,0.87825,0.72629,0.74746,0.77793,0.65557,0.72653,0.94149,0.99135,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,3861.67,0.38356,0.2814,0.8663,0.72574,0.75025,0.78598,0.67101,0.7244,0.91645,0.98907,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,3909.03,0.38674,0.2721,0.87972,0.71203,0.75141,0.78422,0.66823,0.72517,0.94774,0.98642,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,3956.31,0.37361,0.26901,0.87662,0.73433,0.74577,0.81111,0.68561,0.70864,0.9116,0.98364,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,4005.04,0.38491,0.27563,0.87223,0.72523,0.75754,0.81302,0.69412,0.71806,0.88803,0.98683,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,4051.23,0.35425,0.26042,0.86406,0.75126,0.79775,0.81558,0.69596,0.71681,0.85405,0.9863,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,4099.01,0.35839,0.26405,0.86001,0.74477,0.77622,0.81414,0.69484,0.72116,0.85806,0.98421,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,4145.94,0.36528,0.26359,0.86155,0.72865,0.738,0.8045,0.68734,0.71983,0.90072,0.98056,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,4194.08,0.35967,0.25906,0.86231,0.73956,0.74474,0.80222,0.6882,0.70257,0.905,0.97395,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,4241.16,0.36027,0.24725,0.87158,0.7289,0.72782,0.81041,0.69306,0.69629,0.93702,0.96886,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,4287.11,0.34927,0.25296,0.87015,0.72821,0.71995,0.81233,0.68382,0.69877,0.95275,0.96754,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,4341.65,0.31494,0.21909,0.80477,0.70369,0.73928,0.75221,0.6264,0.72522,1.10371,0.97917,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,4388.39,0.30739,0.21336,0.81862,0.67887,0.73979,0.7521,0.62582,0.72667,1.13875,0.98286,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,4432.08,0.29137,0.2055,0.80498,0.70646,0.71033,0.75396,0.62753,0.73403,1.15608,0.98199,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,4477.54,0.29871,0.20348,0.80209,0.68885,0.72771,0.75659,0.63443,0.72389,1.15774,0.98065,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,4522.87,0.29764,0.20891,0.80223,0.7033,0.71714,0.76398,0.64212,0.72954,1.15911,0.97658,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,4569.49,0.29239,0.19779,0.79331,0.70107,0.72006,0.76058,0.64013,0.7255,1.12899,0.97306,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,4614.15,0.28775,0.20328,0.79872,0.70884,0.72372,0.75718,0.63688,0.71972,1.12874,0.97476,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,4661.74,0.28033,0.19476,0.79805,0.71025,0.72363,0.75683,0.63826,0.71392,1.12488,0.97436,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,4708.48,0.2887,0.2001,0.80661,0.70677,0.72149,0.75729,0.63584,0.71563,1.11502,0.97787,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,4755.87,0.27644,0.19591,0.79416,0.70601,0.72632,0.7616,0.63601,0.72,1.11602,0.97719,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
