epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,5451.48,0.17458,0.26628,0.08168,0.55256,0.54009,0.44711,0.36022,0.24536,0.79344,0.10027,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,5513.77,0.16847,0.26016,0.07658,0.66362,0.47885,0.45998,0.37513,0.24217,0.77771,0.09914,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,5577.02,0.17431,0.2575,0.08403,0.66866,0.47345,0.45959,0.37337,0.2439,0.77739,0.09926,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,5640.59,0.16693,0.25347,0.07216,0.57396,0.54188,0.46408,0.37764,0.23874,0.79491,0.09678,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,5702.65,0.16009,0.24696,0.07797,0.57613,0.54782,0.46887,0.37675,0.24051,0.80584,0.0974,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,5766.45,0.16036,0.26106,0.07451,0.60146,0.53085,0.46425,0.37372,0.23754,0.80839,0.09625,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,5845.4,0.13281,0.20336,0.05254,0.59032,0.56518,0.48227,0.38276,0.25178,0.77662,0.1004,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,5908.36,0.12777,0.19758,0.05281,0.6378,0.52119,0.48296,0.38827,0.2511,0.74706,0.10195,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,5969.51,0.13239,0.19749,0.05207,0.64799,0.52255,0.48245,0.38569,0.25398,0.73913,0.09805,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,6032.79,0.12317,0.19704,0.05134,0.6571,0.53235,0.47395,0.37753,0.25634,0.73382,0.10085,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,6094.47,0.12245,0.19528,0.05275,0.60591,0.57395,0.482,0.38682,0.25704,0.74194,0.10077,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,6154.48,0.11798,0.19102,0.05298,0.60611,0.57577,0.48099,0.38436,0.25522,0.74372,0.10185,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,6216.27,0.12013,0.19295,0.05284,0.67293,0.53235,0.47622,0.37856,0.25781,0.74122,0.10195,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,6279.13,0.12469,0.19172,0.05001,0.67567,0.53235,0.47746,0.38032,0.25746,0.73539,0.10269,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,6340.76,0.12538,0.19005,0.05096,0.66368,0.53235,0.48151,0.38543,0.24187,0.73786,0.09948,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,6404.42,0.1254,0.19262,0.05071,0.66279,0.53594,0.48287,0.38864,0.25327,0.73602,0.10258,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
