epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,3476.42,0.46476,0.31718,0.89038,0.85782,0.84533,0.89224,0.71736,0.74938,0.53815,0.98563,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,3522.51,0.44107,0.29628,0.89139,0.85041,0.88226,0.90236,0.72334,0.74061,0.53288,0.98015,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,3573.29,0.43786,0.3001,0.89225,0.90883,0.822,0.9023,0.72415,0.73789,0.54178,0.98264,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,3619.66,0.45137,0.30319,0.88474,0.89005,0.83049,0.90097,0.72071,0.75474,0.53172,0.99109,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,3666.92,0.46256,0.31875,0.89129,0.89573,0.8241,0.90004,0.72541,0.73542,0.53878,0.98374,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,3715.57,0.42493,0.30203,0.87846,0.89437,0.81263,0.89556,0.72095,0.74145,0.56705,0.98757,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,3762.58,0.43026,0.30016,0.87784,0.88192,0.82937,0.86996,0.70839,0.74565,0.57278,0.98612,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,3810.77,0.41668,0.28847,0.87666,0.89239,0.82584,0.8825,0.72121,0.71884,0.56653,0.98324,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,3859.78,0.40773,0.28457,0.87908,0.8982,0.81032,0.88354,0.72049,0.71895,0.5787,0.98111,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,3906.66,0.42149,0.28984,0.87319,0.90344,0.80861,0.89107,0.72615,0.74658,0.58299,0.98519,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,3953.69,0.42868,0.3013,0.88496,0.88163,0.81922,0.88749,0.71683,0.72595,0.56294,0.98136,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,4000.89,0.41121,0.27758,0.88379,0.88577,0.81883,0.89044,0.71668,0.72945,0.56758,0.97563,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,4049.9,0.42502,0.28919,0.87557,0.89171,0.81514,0.88368,0.71024,0.73813,0.56373,0.97474,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,4097.38,0.38853,0.27206,0.86911,0.8945,0.81568,0.89114,0.72398,0.75632,0.55753,0.98003,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,4145.22,0.39075,0.26837,0.86575,0.89026,0.82961,0.89206,0.72427,0.74596,0.5536,0.98004,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,4192.34,0.41015,0.27846,0.86761,0.87681,0.84317,0.89005,0.72844,0.73796,0.57238,0.97639,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,4239.98,0.39884,0.27461,0.86665,0.8929,0.82284,0.88776,0.71952,0.72737,0.56417,0.96766,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,4287.02,0.38781,0.25891,0.87363,0.88056,0.8339,0.88798,0.72481,0.73206,0.57242,0.97162,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
